F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0      68       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H-events_highpri
5 S     0      69       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/3
1 S     0      70       2  0   9   - -     0 -      ?        00:00:00 idle_inject/3
1 S     0      71       2  0 -40   - -     0 -      ?        00:00:00 migration/3
1 S     0      72       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/3
1 I     0      73       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:0-cgroup_free
1 I     0      74       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:0H-events_highpri
5 S     0      75       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/5
1 S     0      76       2  0   9   - -     0 -      ?        00:00:00 idle_inject/5
1 S     0      77       2  0 -40   - -     0 -      ?        00:00:00 migration/5
1 S     0      78       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/5
1 I     0      79       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:0-mm_percpu_wq
1 I     0      80       2  0  60 -20 -     0 -      ?        00:00:00 kworker/5:0H-events_highpri
5 S     0      81       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/7
1 S     0      82       2  0   9   - -     0 -      ?        00:00:00 idle_inject/7
1 S     0      83       2  0 -40   - -     0 -      ?        00:00:00 migration/7
1 S     0      84       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/7
1 I     0      85       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:0-cgroup_release
1 I     0      86       2  0  60 -20 -     0 -      ?        00:00:00 kworker/7:0H-events_highpri
5 S     0      87       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      88       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-inet_frag_wq
1 I     0      89       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthread
1 I     0      90       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_kthread
1 I     0      91       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace_kthread
1 S     0      92       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      93       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0      94       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      95       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:1-loop20
1 I     0      96       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:2-loop11
1 I     0      97       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-writeback
1 S     0      98       2  0  80   0 -     0 -      ?        00:00:00 kcompactd0
1 S     0      99       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0     100       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0     101       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kblockd
1 I     0     102       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-blkcg_punt_bio
1 I     0     103       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kintegrityd
1 S     0     104       2  0   9   - -     0 -      ?        00:00:00 irq/9-acpi
1 I     0     105       2  0  80   0 -     0 -      ?        00:00:00 kworker/8:1-events
1 I     0     106       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1-events
1 I     0     107       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:1-events
1 I     0     108       2  0  80   0 -     0 -      ?        00:00:00 kworker/9:1-events
1 I     0     109       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tpm_dev_wq
1 I     0     110       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ata_sff
1 I     0     111       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md
1 I     0     112       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md_bitmap
1 I     0     113       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-edac-poller
1 I     0     114       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-devfreq_wq
1 S     0     115       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 I     0     116       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-quota_events_unbound
1 I     0     117       2  0  60 -20 -     0 -      ?        00:00:00 kworker/9:1H-kblockd
1 I     0     118       2  0  80   0 -     0 -      ?        00:00:00 kworker/10:1-events
1 S     0     119       2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0     120       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthread
1 I     0     121       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kthrotld
1 S     0     122       2  0   9   - -     0 -      ?        00:00:00 irq/123-pciehp
1 I     0     123       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-acpi_thermal_pm
1 I     0     124       2  0  80   0 -     0 -      ?        00:00:00 kworker/6:1-cgroup_free
1 S     0     125       2  0  80   0 -     0 -      ?        00:00:00 hwrng
1 I     0     126       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-hfi-updates
1 I     0     127       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:1-events
1 I     0     128       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mld
1 I     0     129       2  0  60 -20 -     0 -      ?        00:00:00 kworker/4:1H-kblockd
1 I     0     130       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ipv6_addrconf
1 I     0     131       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kstrp
1 I     0     132       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:1-cgroup_offline
1 I     0     133       2  0  80   0 -     0 -      ?        00:00:00 kworker/11:1-events
1 I     0     134       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:1-events
1 I     0     136       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u49:0-hci0
1 I     0     138       2  0  80   0 -     0 -      ?        00:00:00 kworker/u48:3-loop22
